id,title,label,annotator,Q1.1,Q1.2,Q1.3,Q1.3.1,Q1.4,Q1.5,Q1.6,Q1.7,Q1.7.1,Q1.7.1.2,Q2.8,Q2.9.1,Q2.9.2,Q2.10,Problem
4ffee038-00a4-467a-9266-efdd4449502b,"Israele, 2mila razzi lanciati finora da Gaza. Gaffe sull’attacco di terra",Group 1,ChatGPT4AsAnnotator,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2c2f3cd4-b034-4189-b8ef-213a66fa4b52,"Emergenza covid, sindaca leghista arrestata: aiuti alimentari sottratti alle famiglie bisognose- Corriere.it",Group 1,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9209bc9a-8a2b-4308-8d65-05ab453d308a,Il Papa: la meditazione ed ecco come incontrare Gesù,Group 1,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3b09cd47-b33c-4b83-a07a-c296a878412f,"«Conte, la verità è un’altra: l’Inter non lo voleva più. Pirlo? Anno fallimentare»",Group 2,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a1d6793c-b05e-4c0b-815a-6c4de3cb37d5,Fino al 12 agosto il certificato vaccinale può sostituire il Green pass,Group 1,ChatGPT4AsAnnotator,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
b5a0389d-fb80-4cc2-ab9c-0d16defe902c,"Mississippi, via la bandiera",Group 2,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ecb2d74c-46dc-48fe-948e-a2090a2ffd2e,"Caos M5S, Conte: “Se i parlamentari chiedono lo statuto glielo illustro”. E Crimi sfida Grillo: voto per il direttivo su Sky Vote",Group 1,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f620ad74-b7b2-4269-b02e-af033a2f04b2,Ora il turismo extra-Unione europea fa paura. E Berlino striglia Cipro e Grecia,Group 2,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4b7f561b-a4bc-4cdb-8722-1450f1ce7c38,La Fondazione farà crescere i Giganti di Mont'e Prama,Group 2,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ae56883f-1033-44e1-8f06-5e2269ecb793,"«Se sono ubriaca e ci provi, non è un gesto d'amore». «E se sono sbronzo anch'io?»: il sesso dei ventenni all'epoca del caso Ciro Grillo",Group 2,ChatGPT4AsAnnotator,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
ad170310-dae8-4616-90fa-8817e32bb699,"A Cassaro 100% di vaccinati: è il primo Comune siciliano ""covid free""",Group 2,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7394a8e4-0fc9-4efc-a379-6b5e7efa0675,Ema autorizza il vaccino Pfizer per i 12-15enni. Ma si valutano casi di miocardite e pericardite,Group 2,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
b0e8474a-3d81-4e6e-b9a7-8dcf5e2bccd9,"Regno Unito, giornalista BBC muore a 44 anni dopo vaccino AstraZeneca",Group 2,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50949429-a643-421e-a7ae-edb78fe8f0ab,Cvc conquista la multinazionale della consulenza Bip,Group 2,ChatGPT4AsAnnotator,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a223ad9c-9cc2-4e23-80fa-cb3bbba183da,"D'Alema ""rovinato"". Ma lui reagisce così: ""Vendetta...""",Group 1,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c0093d33-ac00-44c3-9616-286506ce87c0,La sanità del futuro parte dal territorio,Group 2,ChatGPT4AsAnnotator,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
d7137589-65e6-426a-9f91-4fa2497b51c7,"Ex Ilva: sentenza, 22 e 20 anni a Fabio e Nicola Riva, confisca impianti a caldo",Group 2,ChatGPT4AsAnnotator,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75a1a2f5-66dc-45a7-9b2f-2c06e1f4a4db,La Russia sobilla i no vax,Group 2,ChatGPT4AsAnnotator,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
